,title,city,address,stars,text,textTranslated,text_PL,text_EN
2,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Efsane bı mekan herkese tavsiye ederim ⭐⭐⭐⭐⭐⭐,"Legendarne miejsce, polecam każdemu ⭐⭐⭐⭐⭐⭐","Legendarne miejsce, polecam każdemu ⭐⭐⭐⭐⭐⭐","Legendary place, I recommend to everyone"
3,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,❤️,,❤️,Uh-huh.
7,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Wery gut,Bardzo dobrze,Bardzo dobrze,Very good.
10,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Super,,Super,Great.
16,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Bardzo smaczny kebab, myślę że najlepszy w Rzeszowie. Mięso odpowiednio wypieczone i co ważne nie jest przesuszone. Surówki świerze i bardzo smaczne. Osobiście bardzo polecam",,"Bardzo smaczny kebab, myślę że najlepszy w Rzeszowie. Mięso odpowiednio wypieczone i co ważne nie jest przesuszone. Surówki świerze i bardzo smaczne. Osobiście bardzo polecam","Very tasty kebab, I think the best in Rzeszow. Meat properly baked and what matters is not dried. Fresh and very tasty pig irons. Personally I highly recommend"
17,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",3,"Jedzenie nie zbyt ciepłe a smak w miare okej, uważam że 17 zł za duże frytki to troche przesada i nie ma ich tam wcale dużo",,"Jedzenie nie zbyt ciepłe a smak w miare okej, uważam że 17 zł za duże frytki to troche przesada i nie ma ich tam wcale dużo","Food is not too warm and taste is okay, I think 17 zlotys too big fries is a bit much and there are not a lot of them there."
18,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",3,"Pierwsze rozczarowanie to wielkość kebaba. Średnia pita jest bardzo mała i cieniutka a jest to przed ostatnia pozycja w cenniku. Jeśli więc chcesz zjeść normalnego kebaba to trzeba wziąć tego Mega ;).
Ciasto z jednej strony suche i pęka a z drugiej kipi tłuszczem. Natomiast na dole ciasto jest rozmoknięte i resztka kebaba wypada ;) .
Dara mógłby być królem kebabów w Rzeszowie  jakby nie to wieloletnie skompstwo ;)).",,"Pierwsze rozczarowanie to wielkość kebaba. Średnia pita jest bardzo mała i cieniutka a jest to przed ostatnia pozycja w cenniku. Jeśli więc chcesz zjeść normalnego kebaba to trzeba wziąć tego Mega ;).
Ciasto z jednej strony suche i pęka a z drugiej kipi tłuszczem. Natomiast na dole ciasto jest rozmoknięte i resztka kebaba wypada ;) .
Dara mógłby być królem kebabów w Rzeszowie  jakby nie to wieloletnie skompstwo ;)).","The first disappointment is the size of a kebab. The average pita is very small and thin and it is before the last item in the price list. So if you want to eat a normal kebab then you have to take this Mega;). Cake on one side dry and cracks and on the other side sucks fat. On the other hand, the cake is wet and the leftover kebab falls;). Dara could be the king of kebabs in Rzeszów as if it was not a long-term compposition ;))."
21,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",2,"Kula mocy, słone sałatki, sosu nawalone że aż przecieka, no co tu więcej pisać - po prostu marne jedzenie",,"Kula mocy, słone sałatki, sosu nawalone że aż przecieka, no co tu więcej pisać - po prostu marne jedzenie","A ball of power, salt salads, sauce screwed up that leaks, what's more to write - just lousy food"
24,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",1,"Nie polecam,w kebabie miałem włosa..",,"Nie polecam,w kebabie miałem włosa..",I don't recommend that I had hair in kebab.
25,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",3,Ostatnio z jedzeniem coś gorzej - takie fastfoodowe.,,Ostatnio z jedzeniem coś gorzej - takie fastfoodowe.,Something's worse with food these days - fast food.
